,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__max_features,param_classifier__max_iter,param_classifier__max_samples,param_classifier__n_estimators,param_classifier__C,param_classifier__l1_ratio,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score,outer_splits,outer_split_test_score
0,0,50,0.4511212110519409,0.004833579063415527,0.015175461769104004,0.005061984062194824,HistGradientBoostingClassifier,0.24408065617187322,3.0,0.8017219002454924,637.0,,,,,0.0,0.0,0.0,0.0,297,0.0,0.0,0.0,0.0,1,0.9665499514239517
1,0,50,2.4010260105133057,0.00613713264465332,0.13285434246063232,0.011171221733093262,RandomForestClassifier,,,0.2403950683025824,,0.15227525095137953,879.0,,,0.7215153008421025,0.5584403908234905,0.6399778458327965,0.08153745500930598,177,0.9330250341152236,0.9379228369755696,0.9354739355453966,0.002448901430172956,1,0.9665499514239517
2,0,50,0.4224139451980591,0.0050460100173950195,0.010097146034240723,5.125999450683594e-06,HistGradientBoostingClassifier,0.0011263297247501639,14.0,0.8491983767203796,291.0,,,,,0.0,0.0,0.0,0.0,297,0.0,0.0,0.0,0.0,1,0.9665499514239517
3,0,50,0.3475315570831299,0.0010197162628173828,0.006078124046325684,0.004038691520690918,LogisticRegression,,,,,,,0.0705512324873321,0.6116531604882809,0.1875357730219343,0.0,0.09376788651096715,0.09376788651096715,295,0.18257418583505539,0.0,0.09128709291752769,0.09128709291752769,1,0.9665499514239517
4,0,50,0.3548738956451416,0.001753091812133789,0.006077289581298828,0.0040361881256103516,LogisticRegression,,,,,,,0.019497732790759986,0.2912291401980419,0.0,0.0,0.0,0.0,297,0.0,0.0,0.0,0.0,1,0.9665499514239517
5,0,50,0.4277738332748413,0.00782167911529541,0.010072708129882812,0.0,HistGradientBoostingClassifier,0.015609949899149092,1.0,0.9763799669573132,309.0,,,,,0.0,0.0,0.0,0.0,297,0.0,0.0,0.0,0.0,1,0.9665499514239517
6,0,50,1.31743323802948,0.0027724504470825195,0.059593915939331055,0.0010178089141845703,RandomForestClassifier,,,0.8066583652537123,,0.2797064039425238,562.0,,,0.7215153008421025,0.5584403908234905,0.6399778458327965,0.08153745500930598,177,0.9330250341152236,0.9379228369755696,0.9354739355453966,0.002448901430172956,1,0.9665499514239517
7,0,50,0.35346555709838867,0.003329038619995117,0.010095477104187012,1.6808509826660156e-05,LogisticRegression,,,,,,,0.001347502931770785,0.6075448519014384,0.0,0.0,0.0,0.0,297,0.0,0.0,0.0,0.0,1,0.9665499514239517
8,0,50,0.3479357957839966,0.00331270694732666,0.006079316139221191,0.004039645195007324,LogisticRegression,,,,,,,0.022173687470827225,0.013264961159866528,0.2699100800961445,0.23204216838059472,0.25097612423836957,0.01893395585777488,286,0.38643671323171835,0.049286405809014416,0.2178615595203664,0.16857515371135195,1,0.9665499514239517
9,0,50,0.36289310455322266,0.020200490951538086,0.0020378828048706055,1.7881393432617188e-06,LogisticRegression,,,,,,,0.788028837675115,0.8083973481164611,0.5719542505556238,0.2882230614245955,0.4300886559901096,0.14186559456551415,235,0.7320657959980985,0.17054221752815663,0.45130400676312754,0.28076178923497097,1,0.9665499514239517
